player_id,Name,height_cm,weight_kg,score,rebounds,assists,steals,blocks,overall_hit_rate,three_point_hit_rate,offence_score,defence_score,overall_score,jersey_number,position,team,wages
22,Mike Conley,185,79.4,20,3.3,6.1,1.4,0.4,0.424,0.334,89,86,89,11,PG,Grizzlies,6
23,Joakim Noah,210,104.3,3.9,4,1.1,0.4,0.5,0.429,0.000,58,61,61,55,C,Grizzlies,3
24,Justin Holiday,198,82.1,10.2,4.2,2,1.7,0.5,0.355,0.344,73,73,72,7,SG,Grizzlies,4
25,Jaren Jackson Jr.,210,109.7,13.5,4.6,1.1,0.9,1.5,0.507,0.286,75,74,73,13,PF,Grizzlies,4
26,Kyle Anderson,205,104.3,7.9,5.8,3,1.3,0.9,0.553,0.133,55,60,60,1,SF,Grizzlies,3
27,JaMychal Green,205,102.9,10.6,6.5,1,0.9,0.7,0.494,0.334,73,76,74,0,SF,Grizzlies,4
28,Marc Gasol,215,115.6,15.4,8.7,4.7,1.2,1.3,0.443,0.337,81,77,83,33,C,Grizzlies,5
29,Alec Burks,198,97,8.4,1.6,1.2,0.4,0.2,0.382,0.347,63,55,59,10,SG,Jazz,3
30,Dante Exum,198,86.2,7.4,1.7,2.7,0.4,0.1,0.416,0.242,66,55,58,11,SG,Jazz,3
31,Kyle Korver,200,96.1,8.8,2.1,1,0.3,0.2,0.413,0.362,77,74,76,26,SG,Jazz,5
32,Ricky Rubio,193,86.2,12.7,3.5,6,1.3,0.2,0.380,0.308,77,75,78,3,PG,Jazz,5
33,Donovan Mitchell,190,97.5,22.3,3.8,3.9,1.6,0.4,0.418,0.310,81,87,83,45,PG,Jazz,5
34,Joe Ingles,203,102.5,11.5,3.9,4.9,1.4,0.2,0.411,0.320,73,73,73,2,SF,Jazz,4
35,Jae Crowder,198,106.6,12,4.7,1.6,0.8,0.4,0.391,0.313,80,70,74,99,SF,Jazz,4
36,Derrick Favors,208,120.2,11,7.1,1,0.7,1.2,0.570,0.167,78,80,75,15,PF,Jazz,5
37,Rudy Gobert,215,111.1,15,13.1,2.2,0.9,2.1,0.660,0.000,80,86,83,27,C,Jazz,5
38,Frank Mason,180,86.2,4.6,1.1,2.5,0.5,0.1,0.327,0.159,55,55,55,10,PG,Kings,3
39,Iman Shumpert,195,97.5,8.7,2.9,2.1,1.2,0.4,0.368,0.341,64,70,70,9,SG,Kings,4
40,Bogdan Bogdanovic,198,93,15.1,3.6,4.2,0.9,0.2,0.428,0.356,75,71,72,8,SG,Kings,4
41,De'Aaron Fox,190,79.4,17.5,3.7,7.3,1.8,0.5,0.454,0.344,86,75,78,5,PG,Kings,5
42,Kosta Koufos,213,111.1,3.8,4.7,0.9,0.4,0.5,0.424,0.000,55,66,62,41,C,Kings,3
43,Buddy Hield,193,97,20.3,5,2.2,0.5,0.3,0.477,0.448,83,67,76,24,PG,Kings,5
44,Nemanja Bjelica,208,106.1,10.1,5.9,2.1,0.8,0.8,0.462,0.389,69,79,69,88,SF,Kings,4
45,Marvin Bagley III,210,106.1,12.7,6.5,0.9,0.5,0.9,0.537,0.229,73,73,73,35,PF,Kings,4
46,Willie Cauley-Stein,213,108.8,13.3,8.7,2.7,1.3,0.6,0.539,0.020,74,74,74,0,C,Kings,4
47,Michael Beasley,205,106.6,7.5,2.1,0.8,0.4,0.4,0.435,0.070,55,55,55,11,SF,Lacker,3
48,Lance Stephenson,198,104.3,7,3,2,0.6,0.1,0.419,0.316,55,66,66,6,SG,Lacker,4
49,Josh Hart,195,97.5,9.1,4.1,1.5,1.1,0.6,0.434,0.363,75,75,75,3,SG,Lacker,5
50,Ivica Zubac,215,108.8,8,4.4,0.7,0.1,0.8,0.497,0.000,66,66,65,40,C,Lacker,3
51,Caldwell-Pope,195,93,10,2.7,1.1,0.8,0.1,0.406,0.326,69,74,66,1,SG,Lakers,4
52,Rajon Rondo,185,84.4,8.4,4.4,6.7,1,0,0.419,0.399,80,80,85,9,PG,Lakers,6
53,Brandon Ingram,205,86.2,16.4,4.9,2.9,0.6,0.6,0.486,0.289,60,66,66,14,SF,Lakers,4
54,Lonzo Ball,198,86.2,9.9,5.3,5.4,1.5,0.4,0.388,0.310,66,77,76,2,PG,Lakers,5
55,Tyson Chandler,215,108.8,3.7,5.6,0.9,0.3,0.1,0.587,0.000,70,85,80,5,C,Lakers,5
56,Kyle Kuzma,205,99.8,19.3,6,2.4,0.7,0.4,0.452,0.283,84,77,80,0,PF,Lakers,5
57,JaVale McGee,213,122.4,10.9,6.9,0.8,0.7,2.2,0.587,0.013,75,85,83,7,C,Lakers,5
58,LeBron James,203,113.4,27.3,8.3,7.1,1.3,0.7,0.515,0.333,94,93,98,23,SF,Lakers,7
59,Devin Harris,190,83.9,6.4,1.5,1.3,0.7,0.2,0.382,0.244,71,67,69,34,PG,Mavericks,4
60,Jalen Brunson,190,86.2,6.6,1.7,2.1,0.5,0,0.389,0.198,60,60,60,13,PG,Mavericks,3
61,Dirk Nowitzki,213,111.1,3.5,1.8,0.4,0.1,0.4,0.292,0.255,77,75,78,41,PF,Mavericks,5
62,Wesley Matthews,195,99.8,13,2.3,2.4,0.8,0.3,0.403,0.345,75,60,71,23,SG,Mavericks,4
